table_name,column_name,column_key,column_default,is_nullable,data_type,column_type,extra,referenced_table_name,referenced_column_name
FEEDING,CREATED_BY,MUL,,NO,int,int(10) unsigned,,USER,ID
FEEDING,CHILDID,MUL,,NO,int,int(10) unsigned,,CHILD,ID
FEEDING_OPTION,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
FEEDING_OPTION,LABEL,,,NO,varchar,varchar(100),,,
FEEDING_OPTION,APPLANGACODE,,,YES,varchar,varchar(250),,,
FEEDING_OPTION,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
FEEDING_OPTION,UPDATED_AT,,,YES,timestamp,timestamp,,,
FEEDING_TYPE,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
FEEDING_TYPE,NAME,,,NO,varchar,varchar(45),,,
FEEDING_TYPE,TABLE_SOURCE,,,NO,varchar,varchar(100),,,
FOOD_DIARY,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
FOOD_DIARY,CHILDID,MUL,,NO,int,int(10) unsigned,,CHILD,ID
FOOD_DIARY,CONSUMED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
FOOD_DIARY,ISDEFAULT,,0,NO,tinyint,tinyint(1),,,
FOOD_DIARY,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
FOOD_DIARY,CREATED_BY,MUL,,NO,int,int(10) unsigned,,USER,ID
FOOD_DIARY_DETAILS,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
FOOD_DIARY_DETAILS,FOOD_DIARYID,MUL,,NO,int,int(10) unsigned,,FOOD_DIARY,ID
FOOD_DIARY_DETAILS,FOODID,,,NO,varchar,varchar(255),,,
FOOD_DIARY_DETAILS,FOODNAME,,,NO,varchar,varchar(255),,,
FOOD_DIARY_DETAILS,QUANTITY,,,NO,varchar,varchar(100),,,
FOOD_DIARY_DETAILS,DANONE_FOOD_GROUP,,,YES,varchar,varchar(255),,,
FOOD_DIARY_NUTRIENT_COMPUTATION,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
FOOD_DIARY_NUTRIENT_COMPUTATION,FOOD_DIARYID,MUL,,NO,int,int(10) unsigned,,FOOD_DIARY,ID
FOOD_DIARY_NUTRIENT_COMPUTATION,TOTALCALORIESINFAT,,,NO,float,"float(8,2)",,,
FOOD_DIARY_NUTRIENT_COMPUTATION,TOTALCALORIESINCARBS,,,NO,float,"float(8,2)",,,
FOOD_DIARY_NUTRIENT_COMPUTATION,TOTALCALORIESINPROTEIN,,,NO,float,"float(8,2)",,,
FOOD_DIARY_NUTRIENT_COMPUTATION,TOTALCALORIES,,,NO,float,"float(8,2)",,,
FOOD_DIARY_NUTRIENT_COMPUTATION,PERCENTAGOFFAT,,,NO,float,"float(8,2)",,,
FOOD_DIARY_NUTRIENT_COMPUTATION,PERCENTAGEOFCARBS,,,NO,float,"float(8,2)",,,
FOOD_DIARY_NUTRIENT_COMPUTATION,PERCENTAGEOFPROTEIN,,,NO,float,"float(8,2)",,,
FOOD_DIARY_NUTRIENT_COMPUTATION,PERCENTAGEOFOTHERS,,,NO,float,"float(8,2)",,,
FOOD_DIARY_NUTRIENT_COMPUTATION,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
FOOD_DIARY_NUTRIENT_COMPUTATION,SUM_DIETARY_FIBER,,,NO,float,"float(8,2)",,,
FOOD_DIARY_NUTRIENT_COMPUTATION,SUM_VITAMIN_A,,,NO,float,"float(8,2)",,,
FOOD_DIARY_NUTRIENT_COMPUTATION,SUM_VITAMIN_C,,,NO,float,"float(8,2)",,,
FOOD_DIARY_NUTRIENT_COMPUTATION,SUM_VITAMIN_D,,,NO,float,"float(8,2)",,,
FOOD_DIARY_NUTRIENT_COMPUTATION,SUM_IRON,,,NO,float,"float(8,2)",,,
FOOD_DIARY_NUTRIENT_COMPUTATION,SUM_CALCIUM,,,NO,float,"float(8,2)",,,
FOOD_DIARY_NUTRIENT_COMPUTATION,SUM_ZINC,,,NO,float,"float(8,2)",,,
GROWTH_CENTILE_CONFIG,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
GROWTH_CENTILE_CONFIG,SOURCE,MUL,,NO,varchar,varchar(3),,,
GROWTH_CENTILE_CONFIG,MODULE,MUL,,NO,varchar,varchar(50),,,
GROWTH_CENTILE_CONFIG,IS_ON,,1,YES,tinyint,tinyint(1),,,
GROWTH_CENTILE_CONFIG,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
GROWTH_CENTILE_CONFIG,UPDATED_AT,,,YES,timestamp,timestamp,,,
INVITATION,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
INVITATION,EMAIL,,,NO,varchar,varchar(45),,,
INVITATION,RELATIONSHIPID,MUL,,NO,int,int(10) unsigned,,RELATIONSHIP,ID
INVITATION,CHILDID,MUL,,NO,int,int(10) unsigned,,CHILD,ID
INVITATION,INVITER_USERID,MUL,,NO,int,int(10) unsigned,,USER,ID
INVITATION,ISACCEPTED,,1,NO,tinyint,tinyint(1),,,
INVITATION,CREATED_AT,,CURRENT_TIMESTAMP,NO,timestamp,timestamp,,,
INVITATION,CREATED_BY,MUL,,NO,int,int(10) unsigned,,USER,ID
